,event,title,description
376,31812192005723,Pitt-Greensburg: Zumba with the Spanish Club,Join the Spanish Club at their Zumba 
377,31812261380349,Pitt-Greensburg: Commuter Chick-Fil-A Day,Pitt-Greensburg commuting students
378,31812316863237,"Pitt-Greensburg: College Republicans Film Screening of \""The Red Pill\","The Pitt-Greensburg College Republicans will host a screening of the film, The Red Pill, directed by Cassie Jaye.\n\n\""When feminist filmmaker Cassie Jaye sets out to document the mysterious and polarizing world of the Men's Rights Movement, she begins to question her own beliefs. Jaye had only heard about the Men's Rights Movement as being a misogynist hate-group aiming to turn back the clock o"
379,31812346853458,Pitt-Greensburg: VAS Christmas Craft Night,The Pitt-Greensburg Visual Arts Society (VAS) will host a craft night just in time for the holiday season! 
386,31812429214284,Pitt-Greensburg: Greensburg Community Holiday Parade,Pitt-Greensburg will be proudly wearing the Blue & Gold when it participates in the annual Greensbu
394,31812473146472,DocuSign Next Steps: Enhancing Digital Agreements,Increase your DocuSign skills to take your digital business a step further. Learn conditiona
400,31095513757034,"Julie Murphy and Alessandra Balzer: An Evening about Young Adult Writing and Publishing, moderated by Siobhan Vivian","Pittsburgh Contemporary Writers Series presents a panel on young adult writing and publishing with author Julie Murphy and publisher Alessandra Balzer.\n\nJulie Murphy is the New York Times bestselling author of the young adult books Side Effects May Vary, Dumplin', Ramona Blue, and Puddin'. Dumplin' was recently made into a Netflix film starring Jennifer Aniston. Her new book, Dear Swe"
401,31095548931605,Cathy FitzGerald: An Evening of Audio Storytelling,"Pittsburgh Contemporary Writers Series presents an evening of audio storytelling with radio producer Cathy FitzGerald.\n\nCathy FitzGerald is a writer, radio producer, and documentary maker based in London, England. Her radio documentaries and podcasts have been featured on BBC Radio 4, the BBC World Service, and international broadcasters. Her first radio documentary, The Magic Carpet Flight Manual, received the Radio Ac"
402,31096047614751,Pitt-Greensburg: Spanish Tertulia,Come join in the conversation and games--in Spanish!\n\nSpeakers at all levels of the Spanish language are welcome at the gathering on designated Tues
403,31096067978407,Spanish Tertulia,Come join in the conversation and games--in Spanish!\n\nSpeakers at all levels of the Spanish language are welcome at the gathering on designated Tues
404,31120444408002,Painless PubMed,"This one hour workshop is designed to quickly introduce or update you about searching in the PubMed database. Offered bi-weekly, the topics include"
405,31123349102561,Soviet and American Plans to Survive Nuclear Armageddon,"The United States and the Soviet Union were locked n a decades-long nuclear race. Though the Cold War rivals acheived \""mutual-assured destruction\"" in the 1960s, both powers made plans for their respective societies"
406,31123391664580,Exposing Chernobyl,"The hit HBO minseries Chernobyl thrust the nuclear disaster back into public consciousness. What are its legacies in and around the ""Exclusion zone""? This live interview with award winning hi"
407,31123627402574,Learn About Good Research Practices,"Overseeing a research study can be challenging, especially if you are new to the research environment. This workshop will provide an overview of the various components of Good Research Practices. Topics to be discussed include"
408,31123806256881,University of Pittsburgh Symphony Orchestra,Free\n\nPitt's Symphony Orchestra performs Daron Hagen's Blake Song
409,31139997486846,Medical Education in 19th Century America: Jefferson and Flexner Revisited,"Robert Gibson, MD         \nLockhart B. McGuire Professor of Medicine, retired"
410,31140015247047,Poison Garden: Poisoning in Agatha Christie's Literature,"Sylvia Pamboukian, PhD\nProfessor of English\nRobert Morris Uni"
411,31140036695933,The Role of Non-Kin in Providing Elder Care: A Forgotten History in Ghana ,"Cati Coe, PhD\nProfessor of Anthropology\nRutgers University\n\nAbstract"
412,31140049446889,"Dr. Charles Champion and the Evolution of African American Independent Compounding, Alternative, and Herbal Pharmacy Practice in the South","James Bailey, MD\nProfessor of Medicine\nUniversity of Tennessee Me"
413,31140067128168,New Sites of Healing: African Independent Churches and the advent of Religious Birthing Home,"Ogechukwu Williams, PhD\nAssistant Professor of History\nCreighton University\n\nOgechukwu Williams' current research focuses on childbirth as a central site of medical, cultural, and imperial contestations in Nigeria's colonial and post-colonial era. Through an historical analysis of reproductive medicine, she highlights the importance of a plural medical structure that approaches healthcare through a cultural, religious,"
414,31140087250237,"Organ Transplantation - Past, Present, and Future","David Cooper, MD\nCo-Director, Xenotransplantation Program\nDepartment of Surgery\nUnivers"
415,31149927206010,Improvisation for Advising Conversations,"Improvisation is becoming increasingly recognized as a critical skill for engaging in productive conversations. Recently, improv has been brought into higher education spaces as a key training modality for academic advising. Through a series of facilitated simulations and role-playing with "
416,31158430700946,Pitt Jazz Ensemble Fall Concert,Free\n\nEnjoy the powerful sounds of 
417,31183933110851,Graduate Studies Monthly Office Hour,"Nathan Urban, Vice Provost for Graduate Studies and Strategic Initiatives, holds a monthly office hour. Gra"
419,31184468823976,SAFE Self-Defense Training,"Self Defense Awareness Familiarization Exchange (SAFE) is a crime-victim prevention and awareness program sponsored by the National Self-Defense Institute, Inc. \n\nThis program teaches students a variety of self-defense tactics and options if confronted by an attacker. Residence Off"
420,31194267125279,Immigration Issues Breakfast,"Break bagels with  Monica Ruiz, Executive Director at Casa San Jose.\n \n\nRSVP required (so we have enough bagels fo"
421,31194380571026,Curable Diseases Breakfast,"Break bagels with  Lisa Boyette, Co-Founder, physician-scientist & biomedical engineer at Curable Consulting - and named \""One of the Most Inspiring People in the Life Scien"
422,31194942097516,"Public Service Platforms, from Local to State ","With Gisele Fetterman, Public figure and nonprofit leader in Pennsylvania.\nSnacks - coffee - tea \n\nPart of Pitt Honors Community Cafe series with nonp"
423,31195992867456,Win Scholarships to Travel the World,"Intern, teach, study, or research all around the globe! \n\nThere are a variety of scholarships to travel abroad, and Pitt's National Scholarships Office helps dozens of students win them every year. (Pitt is even a top school for winners of the prestigious Fulbright Scholarship!) \n\nGet inside advice ab"
424,31201112882774,Retirement Plans - Know the Rules: TIAA Live Webinar,"Your retirement assets will play a significant role in creating your retirement income, however, there are many rules surrounding your use of these assets. When can I start taking distributions? When must I start taking d"
425,31201129191096,Attention to Detail: Financial Finishing Touches for Women: TIAA Live Webinar,Am I ready to retire? How do I know if I have enough? How do I plan my income? What should I look out for as I plan and even after I am retired? Financial success can often compli
432,31813175566569,LabArchives: Making the Switch to Electronic Research Notebooks,"Learn how LabArchives Professional Edition-available to Pitt students, faculty, and staff at no charge-can help organize, manage, share, and store research data that is secure "
436,31813281226334,Microsoft Teams: Communicate and Collaborate Like Never Before,"This introductory session demonstrates how you and your students, staff, or colleagues can improve communication and collaboration using Microsoft Teams. Discover ways"
440,31813334879684,Visual Analytics: Getting Started with Data-Informed Decision Making,"The University generates large volumes of data that can be used to improve the operations and administration of teams-both large and small. This workshop provides manager, directors, and others in leadership roles with a tour of"
444,31813416951611,Pitt-Greensburg Hockey Team Chipolte Fundraiser,The Pitt-Greensburg Hockey team invites you to enjoy your dinner at the Greensburg Chipolte while showing your team spirit and supporting thei
